"コンテンツID
※空欄で構いません。特定の値を設定したい場合に入力してください。",title,subtitle,eventDate,reporter,reporterCompany,reporterBusiness,excerpt,body,eyecatch,category,slug,thumbnail
,社員が主体的に働く組織の作り方,～組織活性化の基礎～,2023-09-26T00:00:00.000Z,丹下晴文 氏,丹下経営研究所,中小企業診断士,9月例会は中小企業診断士 丹下経営研究所の丹下代表にご講演を頂きました。 丹下代表は社員と経営者の両方の目線から会社組織の在り方を見てこられました。 今回の講演は、会社組織が活性化し、より良い仕事環境の作り方を学べる貴重な例会になりました。,"<p><img src=""20230926-01.jpg"" alt=""""></p><h2>講演概要（講演リーフレットから抜粋）</h2><p><img src=""20230926-02.jpg"" alt=""""></p><p>離職者が多い、職場の雰囲気が良くない、社員間のトラブルが多い、管理者が実務に追われて疲弊している、ベテランの技術が若手に繋らない等多くの経営者が抱える経営課題。今回は中小企業診断士として数多くの中小企業を見てこられた丹下晴文氏に具体的な組織活性化の基礎や組織活性化に成功した実例を交えながらお話しいただきます。皆様のご参加を心よりお待ちしております。</p><h2>講演結果</h2><p>9月例会は中小企業診断士 丹下経営研究所の丹下代表にご講演を頂きました。 丹下代表は社員と経営者の両方の目線から会社組織の在り方を見てこられました。 今回の講演は、会社組織が活性化してより良い仕事環境の作り方を学べる貴重な例会になりました。</p><p><img src=""20230926-03.jpg"" alt=""""></p><p><img src=""20230926-04.jpg"" alt=""""></p><h2>講演に参加した経営者の方々の感想（抜粋）</h2><p>・個人事業主の為、人材育成に対しての関わりが無いのですが、クライアントの会社の理解を進めるのに大変勉強になりました。</p><p>・ 顧客に向き合う様に社員に向き合う。自分に最も不足している点を指摘頂きました。 社員カル テを作られているというのもグループ討論で聞けて良かったです。</p><p>・会社の大小もあり、業種によって違いもありますが、社員が主体的に動く様にすれば会社も発展に行くと思いました。</p>",20230926-01.jpg,news2023,20230926,"20230926-01.jpg,20230926-02.jpg,20230926-03.jpg,20230926-04.jpg"
,嘉悦大学ライブケース講義への講師派遣,～個人企業の創業と中小企業支援の実態を学ぶ～,2023-10-06T00:00:00.000Z,上原出之 氏,パイロテージコンサルティング,,10/6に三多摩支部 パイロテージコンサルティングの上原出之代表が嘉悦大学のライブケース講座に講師として講演しました。当日は学生さんが50人近くが参加され、個人企業の創業の経緯や実態を説明し、創業過程の苦労や経験、必要なスキルセットを伝えるなどした結果、活発な質問が出て非常に有意義な講義となりました。,"<p><img src=""20231006-01.jpg"" alt=""""></p><h2>講演概要</h2><p>三多摩支部では毎年恒例で嘉悦大学の古山徹准教授のライブケース講義に支部会員を講師として派遣をしています。 嘉悦大学のカリキュラムによると、ライブケース講義とは、以下の講座となっています。</p><p>「主として中小企業経営者に講義していただくプログラムです。企業の創業、発展経緯、現下の課題、今後の経営戦略、起業家の楽しみと苦労などについてスピーチしていただくことにより、経営現場の生の状況に触れることができます。」</p><p>10/6に三多摩支部 パイロテージコンサルティングの上原出之代表が講師として講演を実施してきました。 講演の目的として、個人企業の創業の経緯や実態、創業過程の苦労や経験を伝え、中小企業の支援事例や、個人企業で必要なスキルセットなどを生々しい事例で分かりやすく説明してきました。</p><h2>講演結果</h2><p>10/6に三多摩支部 パイロテージコンサルティングの上原出之代表が嘉悦大学のライブケース講座に講師として講演しました。当日は学生さんが50人近くが参加され、個人企業の創業の経緯や実態を説明し、創業過程の苦労や経験、必要なスキルセットを伝えるなどした結果、活発な質問が出て非常に有意義な講義となりました。</p><p><img src=""20231006-01.jpg"" alt=""""></p><p><img src=""20231006-02.jpg"" alt=""""></p>",20231006-01.jpg,news2023,20231006,"20231006-01.jpg,20231006-02.jpg"
,第一回 三多摩 学びと交流の森,～ハラスメントは中小企業の経営リスク！？～ハラスメントゼロの職場づくり勉強会,2023-10-17T00:00:00.000Z,岡野成美 氏,なるみ社労士事務所,社会保険労務士,10/17は第１回目の 三多摩 学びと交流の森 は なるみ社労士事務所 岡野成美代表 が講師として登壇しました。なにがハラスメントにあたるのか！？知っているようでよくわからない。事例を交えながらわかりやすく解説していただきました。社内でハラスメントが起きてしまった場合には多大な経営リスクが待っています。未然に防ぐ職場環境を考え機会になりました。,"<p><img src=""20231017-01.jpg"" alt=""""></p><h2>講演概要（講演リーフレットから抜粋）</h2><p><img src=""20231017-02.jpg"" alt=""""></p><h2>講演結果</h2><p>10/17は第１回目の 三多摩 学びと交流の森 は なるみ社労士事務所 岡野成美代表 が講師として登壇しました。なにがハラスメントにあたるのか！？知っているようでよくわからない。事例を交えながらわかりやすく解説していただきました。社内でハラスメントが起きてしまった場合には多大な経営リスクが待っています。未然に防ぐ職場環境を考え機会になりました。</p><p><img src=""20231017-03.jpg"" alt=""""></p><p><img src=""20231017-04.jpg"" alt=""""></p><h2>講演に参加した経営者の方々の感想（抜粋）</h2><p>・ このような勉強会は大変面白いと思います。</p><p>・非常にわかりやすい内容で講演いただきありがとうございました。また、パワハラ</p><p>についてはグレーゾーンがあったり、職場内のコミュニケーションでも改善が図ら</p><p>れる等、多々議論すべきポイントがあり、交流の森にふさわしいテーマだったと思</p><p>います。</p><p>・ ワークの時間、質疑応答の時間に妨げることなく、発言できるのが三多摩支部だと</p><p>思います。学びのきっかけをいただきました。また勉強会に参加させてください。</p>",20231017-01.jpg,news2023,20231017,"20231017-01.jpg,20231017-02.jpg,20231017-03.jpg,20231017-04.jpg"
,三多摩支部 訪問例会,～富士山麓で地域に根差した循環型社会のノウハウを学ぶ～,2023-10-24T00:00:00.000Z,蓑 氏,株式会社アサギリ,,10月は株式会社アサギリ様へ訪問例会を実施しました。代表取締役の蓑様は、静岡同友会の代表理事も務められており、富士山麓の広大な土地で、地域に根差した循環型社会を実現されており、中小企業におけるSDGｓの具体的な取組みを現地工場の見学と蓑様のご講演で学ぶことができました。富士吉田での懇親会は帰路のバス車内でも続き、学びと交流で大いに盛り上がった一日でした。,"<p><img src=""20231024-01.jpg"" alt=""""></p><h2>例会概要（リーフレットから抜粋）</h2><p><img src=""20231024-02.png"" alt=""""></p><h2>講演結果</h2><p>10月は株式会社アサギリ様へ訪問例会を実施しました。代表取締役の蓑様は、静岡同友会の代表理事も務められており、富士山麓の広大な土地で、地域に根差した循環型社会を実現されており、中小企業におけるSDGｓの具体的な取組みを現地工場の見学と蓑様のご講演で学ぶことができました。富士吉田での懇親会は帰路のバス車内でも続き、学びと交流で大いに盛り上がった一日でした。</p><p><img src=""20231024-03.jpg"" alt=""""></p><p><img src=""20231024-04.jpg"" alt=""""></p><p><img src=""20231024-05.jpg"" alt=""""></p><p><img src=""20231024-06.jpg"" alt=""""></p><h2>講演に参加した経営者の方々の感想（抜粋）</h2><ul><li>同友会の理念経営を実践され、地域から喜ばれる循環型社会の創造と自社の事業性成長を両立させた取組みは、すばらしいと感じました。</li><li>新卒の女子大生が入社、活躍される姿を拝見し、Ｚ世代の社会貢献事業への関心の高さを改めて実感しました。</li><li>不離一体シートの生の情報まで開示いただき、同友会活動と会社経営の一体化した取組みで成果を上げられている実態を知ることができたいへん勉強になりました。</li></ul>",20231024-01.jpg,news2023,20231024,"20231024-01.jpg,20231024-02.png,20231024-03.jpg,20231024-04.jpg,20231024-05.jpg,20231024-06.jpg"
,嘉悦大学ライブケース講義への講師派遣,～経験の多様性を活かしたビジネス戦略～,2023-10-27T00:00:00.000Z,山﨑啓介 氏,むすびかなでる,,10/27は 三多摩支部所属の “むすびかなでる” 山﨑啓介代表が講師として登壇しました。ご自身が大学時代に学んだ専攻やアルバイト経験、10年ほど前から関わりを持ち始めたNPOでのプロボノ（専門性を活かしたボランティア）活動が、現在の事業展開や、仕事に対するモチベーションへ大きな影響を与えていることを学生の皆さんへ伝えてきました。,"<p><img src=""20231027-01.jpg"" alt=""""></p><h2>講演概要</h2><p><img src=""20231027-02.jpg"" alt=""""></p><p>三多摩支部では毎年恒例で嘉悦大学の古山徹准教授のライブケース講義に支部会員を講師として派遣をしています。嘉悦大学のカリキュラムによると、ライブケース講義とは、以下の講座となっています。</p><p>「主として中小企業経営者に講義していただくプログラムです。企業の創業、発展経緯、現下の課題、今後の経営戦略、起業家の楽しみと苦労などについてスピーチしていただくことにより、経営現場の生の状況に触れることができます。」</p><p>10/27は 三多摩支部所属の “むすびかなでる” 山﨑啓介代表が講師として登壇しました。ご自身が大学時代に学んだ専攻やアルバイト経験、10年ほど前から関わりを持ち始めたNPOでのプロボノ（専門性を活かしたボランティア）活動が、 現在の事業展開や、仕事に対するモチベーションへ大きな影響を与えていることを学生の皆さんへ伝えてきました。</p><h2>講演結果</h2><p>山﨑代表はこれまでに大企業・中小企業・個人事業、NPOという多様な立場をご経験されてきていることから、学生から後日届いた質問には就職活動や転職活動に関する内容が多くみられました。終身雇用が崩れ、兼業や創業といった選択肢も増えてきている社会へ向けて、残りの学生生活をどのように過ごすかを学生の皆さんに考えてもらうことが出来た有意義な講義となりました。</p><p><img src=""20231027-03.jpg"" alt=""""></p>",20231027-01.jpg,news2023,20231027,"20231027-01.jpg,20231027-02.jpg,20231027-03.jpg"
,第一回多摩協ゴルフコンペ開催,,2023-11-22T00:00:00.000Z,,,,多摩協で第一回目となるゴルフコンペをレイク相模カントリークラブで開催しました。当日は天気にも恵まれ、多摩協以外の方々にも参加いただき、１８名５組でのコンペとなりました。終了後には当日の反省(笑)を兼ねた表彰式もおこない、大いに親睦が深まった一日となりました。尚、株式会社ナガセの長瀬透様がめでたく優勝されました。,"<p><img src=""20231122-01.jpg"" alt=""""></p><h2>開催概要</h2><p><img src=""20231122-02.jpg"" alt=""""></p><h2>開催結果</h2><p>多摩協で第一回目となるゴルフコンペをレイク相模カントリークラブで開催しました。当日は天気にも恵まれ、多摩協以外の方々にも参加いただき、１８名５組でのコンペとなりました。終了後には当日の反省(笑)を兼ねた表彰式もおこない、大いに親睦が深まった一日となりました。尚、株式会社ナガセの長瀬透様がめでたく優勝されました。</p><p><img src=""20231122-03.jpg"" alt=""""></p><p><img src=""20231122-04.jpg"" alt=""""></p>",20231122-01.jpg,news2023,20231122,"20231122-01.jpg,20231122-02.jpg,20231122-03.jpg,20231122-04.jpg"
,理念に向き合い、事業を拡げる,～こどものため 保護者のため 地域のため～,2023-11-28T00:00:00.000Z,栗原 氏,社会福祉法人 未来子どもランド,保育・障害児デイサービス・就労支援,11月例会は社会福祉法人「未来子どもランド」の栗原理事長にご講演を頂きました。未来子どもランド様のような非営利法人も、私たち中小企業のような営利法人もより良い社会を目指して事業を行なう点に違いはありません。今回の講演は、改めて良い経営とは何かを考える貴重な機会となりました。,"<p><img src=""20231128-01.jpg"" alt=""""></p><h2>講演概要（講演リーフレットから抜粋）</h2><p><img src=""20231128-02.png"" alt=""""></p><p>区立保育園の民間委託が決まり、保護者たちがその運営を引き継ぐことから始まった未来こどもランド。</p><p>保育園の運営のほか、障害児の放課後デイサービスや、成人の就労継続支援B型施設と公益事業のコミュニティカフェの運営に事業領域を拡大している。理事長に就任した栗原氏は法人理念に向き合い、ひとつの拠点の運営にとどまっては地域の特性や保育需要に応えられないと判断。</p><p>事業領域を広げ、地域の中で保護者・地域住民・子供が共に育つことを掲げた。理念が人をつなぎ、また新たなつながりが生まれ、職員も成長していく。そして新しい事業が生まれる。</p><p>栗原氏の軌跡から、理念を中心に据えた組織作りを学ぶ。</p><h2>講演結果</h2><p>11月例会は社会福祉法人「未来子どもランド」の栗原理事長にご講演を頂きました。保護者の立場から保育園を運営する立場にチャレンジし、地域課題を自分事として法人理念 “こどものため 保護者のため 地域のため” を掲げて福祉事業に取り組んでいる栗原様。事業領域の拡大はそのまま地域コミュニティの拡大となり、そこで働く方々や住民の笑顔を生み出す場所を創出されています。</p><p>未来子どもランド様のような非営利法人も、私たち中小企業のような営利法人もより良い社会を目指して事業を行なう点に違いはありません。今回の講演は、改めて良い経営とは何かを考える貴重な機会となりました。</p><p><img src=""20231128-01.jpg"" alt=""""></p><p><img src=""20231128-03.jpg"" alt=""""></p><h2>講演に参加した経営者の方々の感想（抜粋）</h2><ul><li>笑顔で人と人をつなぐ、地域に根差す組織になるといった考え方は一般の営利企業とは異なる観点でありながら忘れてはならない考え方であり、大きな気づきを頂くことが出来ました。ありがとうございました。</li><li>社会福祉の事業を行われている方のお話しを例会でお聞きするのは新鮮でした。事業を行う上で社会との関わりは不可欠である為、今後もこのようなお話を聞く機会があると良いと思います。</li></ul>",20231128-01.jpg,news2023,20231128,"20231128-01.jpg,20231128-02.png,20231128-03.jpg"
,第二回 三多摩 学びと交流の森,～デジタルツール導入に一呼吸 リスク軽減と効果的な導入戦略とは～,2024-01-18T00:00:00.000Z,山﨑啓介 氏,むすびかなでる,,第２回 三多摩学びと交流の森では 三多摩支部所属の”むすびかなでる” 山﨑代表が講師として登壇しました。講演では実際に山﨑氏が関わったプロジェクトの失敗事例を題材に、リスク対策をお話いただいたほか、参加者の方からのリクエストに応じながらその場でノーコードツールで開発を行なう場面もみられました。後半は参加者同士で自社のITシステムに関する情報交換も活発に行われ、経営者として自社のDX化に真剣に向き合う貴重な時間となりました。,"<p><img src=""20240118-01.jpg"" alt=""""></p><h2>講演概要（講演リーフレットから抜粋）</h2><p><img src=""20240118-02.png"" alt=""""></p><p>デジタルツール導入に 一呼吸 リスク軽減と効果的な導入戦略とは ～中小企業におけるローコード・ノーコード導入の道標～</p><p>人手不足対策、データ利活用などDX化による期待は高まるばかり。しかし、焦って推進した戦略では良い成果を得られません。何事にも一呼吸を置き、俯瞰的に捉えながら対処することが成功への鍵です。</p><p>２回目となる「三多摩学びと交流の森」ではDX化で注目されているローコード＆ノーコードツールに着目し、皆さまの取組状況について情報交換をまじえながら、ツールの選択、導入、そして運用におけるアプローチを学びます。</p><p>報告者：山﨑啓介氏 むすびかなでる 代表（三多摩支部）</p><h2>講演結果</h2><p>第２回 三多摩学びと交流の森では 三多摩支部所属の”むすびかなでる” 山﨑代表が講師として登壇しました。講演では実際に山﨑氏が関わったプロジェクトの失敗事例を題材に、リスク対策をお話いただいたほか、参加者の方からのリクエストに応じながらその場でノーコードツールで開発を行なう場面もみられました。後半は参加者同士で自社のITシステムに関する情報交換も活発に行われ、経営者として自社のDX化に真剣に向き合う貴重な時間となりました。</p><p><img src=""20240118-03.jpg"" alt=""""></p><p><img src=""20240118-04.jpg"" alt=""""></p><h2>講演に参加した経営者の方々の感想（抜粋）</h2><ul><li>サービスの営業は導入のメリットしか話さないため、中立な立場にある方から話を聞けてよかった</li><li>当社のITに関する課題について、参加者の皆さんで意見交換が出来てとても参考になった</li><li>ITのことはよくわからないが、困ったときに相談できる人が同友会にいると安心</li></ul>",20240118-01.jpg,news2023,20240118,"20240118-01.jpg,20240118-02.png,20240118-03.jpg,20240118-04.jpg"
,運気をマネジメント,～開運成就へ！～,2024-01-23T00:00:00.000Z,福谷象玲 氏,,企業占断士,1月例会は企業占断士 福谷 象玲氏にご講演をいただきました。経営判断は経営者の最大の責務であり会社や社員の未来を左右します。福谷氏より今年の運気をわかりやすく解説していただき、経営判断の手がかりを拝受しました。三多摩支部で毎年恒例となる好評の例会です。,"<p><img src=""20240123-01.jpg"" alt=""""></p><h2>講演概要（講演リーフレットから抜粋）</h2><p><img src=""20240123-02.jpg"" alt=""""></p><p>１６歳より占術の勉強を始め、占断士として必要な様々な資質を父・故 稲垣象現より受け継がれ、自然の摂理に感銘。米国州立ワシントン大学への留学経験やアンダーセンコンサルティング(現アクセンチュア)への勤務により企業コンサルティングの現場をみて、コンサルティングだけでは解決できない経営者の悩みや課題があることに気づかれます。その後、気学・易学・干支学への造詣を深め、４０年に渡り探求し続けた運命学に経営士の知識と多くの経験を組み合わせ、企業占断 (事業継承等)、個人占断、各種講演を行う他、教室も開催されるなど、 企業占断士の地位を築かれます。現在では企業の占断を担当し多くの経営者や各界のリーダーの悩みに的確にアドバイスされる福谷氏にお話いただきます。</p><p>東京同友会三多摩支部 支部長 斗光 健一（㈱トコウ）</p><h2>講演結果</h2><p>1月例会は企業占断士 福谷 象玲氏にご講演をいただきました。経営判断は経営者の最大の責務であり会社や社員の未来を左右します。福谷氏より今年の運気をわかりやすく解説していただき、経営判断の手がかりを拝受しました。三多摩支部で毎年恒例となる好評の例会です。</p><p><img src=""20240123-01.jpg"" alt=""""></p><p><img src=""20240123-03.jpg"" alt=""""></p><h2>講演に参加した経営者の方々の感想（抜粋）</h2><p>・運気予報しっかり取り入れたいと思います。一年の初めにこのお話が聞けて良かったです。</p><p>・自身の昨年を振り返って、調子の悪さに納得したご報告でした。</p><p>・今年も傾向と対策を御指導いただき、ありがとうございました。事業に反映し、謙虚に行動していき</p><p>たいと思います。</p>",20240123-01.jpg,news2023,20240123,"20240123-01.jpg,20240123-02.jpg,20240123-03.jpg"
,シャンソンリサイタル＋湯田氏特別講演!,,2024-02-27T00:00:00.000Z,湯田仁 氏,株式会社NMC,,2月は例会は株式会社NMC 代表取締役 湯田仁様のご令閨・ご令嬢によるシャンソンリサイタルを開催いたしました。普段の学びとは一味違い、会社経営の幅が広がる、文化的で教養を深める貴重な例会となりました。,"<p><img src=""20240227-01.jpg"" alt=""""></p><h2>講演概要（講演リーフレットから抜粋）</h2><p><img src=""20240227-02.jpg"" alt=""""></p><p>昨年度に引き続き、三多摩支部ベテラン会がお贈りするシャンソンリサイタルです。 歌唱 湯田福子氏・ピアノ 湯田亜希氏は会場のオーナーで三多摩支部会員 湯田仁氏（㈱NMC）のご令閨・ご令嬢です。 シャンソンの名曲、枯れ葉・愛の賛歌・ラビアンローズ他、カンツォーネのカルーソーの楽曲等 名曲の数々をお楽しみ下さい。 更に今年度は湯田仁氏（株式会社NMC 代表取締役 三多摩支部）の特別講演もございます。 斗光支部長との対談形式を通じて湯田氏のこれまでとこれからの経営を掘り下げます。 ぜひ奮ってご参加ください。</p><p>東京同友会三多摩支部 支部長 斗光 健一（㈱トコウ）</p><h2>講演結果</h2><p>2月は例会は株式会社NMC 代表取締役 湯田仁様のご令閨・ご令嬢によるシャンソンリサイタルを開催いたしました。普段の学びとは一味違い、会社経営の幅が広がる、文化的で教養を深める貴重な例会となりました。</p><p><img src=""20240227-01.jpg"" alt=""""></p><p><img src=""20240227-03.jpg"" alt=""""></p><h2>講演に参加した経営者の方々の感想（抜粋）</h2><p>後日掲載</p>",20240227-01.jpg,news2023,20240227,"20240227-01.jpg,20240227-02.jpg,20240227-03.jpg"
